# Timestep,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1.0,0.0,0.476545,0.665366,0.553066,0.734839,0.92125,0.852489,0.602226,0.67305,0.745806,0.647375,0.709428,0.697173,0.620239,0.707862
2.0,0.0,0.0234586,0.383082,0.150811,0.406247,0.851359,0.730494,0.218785,0.296583,0.504265,0.299883,0.49256,0.47818,0.361141,0.344899
3.0,0.0,-0.35797,0.208741,-0.117087,0.206342,0.901831,0.739898,-0.0205598,0.0965657,0.433843,0.0725525,0.421126,0.402957,0.261016,0.211946
4.0,0.0,-0.653536,0.00595086,-0.248824,0.154992,0.890375,0.70822,-0.205339,-0.0585619,0.303524,-0.0680832,0.307862,0.227549,0.0465888,0.0499617
5.0,0.0,-0.944097,-0.165211,-0.472659,0.0636373,0.823958,0.605352,-0.491546,-0.229628,0.166746,-0.159378,0.188263,0.0769997,-0.13565,-0.1392
6.0,0.0,-1.12719,-0.155617,-0.522767,0.125494,0.967513,0.749661,-0.615723,-0.193295,0.266857,-0.113087,0.316615,0.163171,-0.0511799,-0.0392973
7.0,0.0,-1.18806,-0.241513,-0.543573,0.167879,1.12867,0.894911,-0.714205,-0.0565702,0.288701,-0.00228913,0.335935,0.135725,-0.11743,-0.0497919
8.0,0.0,-1.30022,-0.300232,-0.714384,0.133126,1.30544,1.06555,-1.08299,-0.043059,0.299534,0.0726237,0.431736,0.170621,-0.0799874,-0.120422
9.0,0.0,-1.47456,-0.235933,-0.766445,0.181717,1.64233,1.38906,-1.34676,0.115907,0.474181,0.192331,0.708584,0.396136,0.167088,-0.00701571
10.0,0.0,-1.63323,0.0632972,-0.765468,0.443758,2.11007,1.86648,-1.25848,0.345548,0.835032,0.264219,1.18674,0.790802,0.582683,0.305511
11.0,0.0,-1.80416,0.270853,-0.854304,0.565315,2.44644,2.19785,-1.15598,0.447296,1.05716,0.229777,1.55551,1.04729,0.864931,0.461181
12.0,0.0,-1.94214,0.499325,-1.00932,0.54586,2.83496,2.57111,-1.07115,0.378793,1.28668,0.0499726,1.97281,1.36702,1.22518,0.540168
13.0,0.0,-2.08691,0.506331,-1.27416,0.304574,2.80853,2.55474,-1.14222,0.0956692,1.17584,-0.180902,2.11735,1.37923,1.33037,0.239101
14.0,0.0,-2.17459,0.459768,-1.42556,0.306558,2.79632,2.52316,-1.22984,0.0907758,1.20033,-0.194532,2.0639,1.35394,1.28318,0.339775
15.0,0.0,-2.30654,0.612563,-1.54065,0.379362,2.88673,2.57,-1.14908,0.174498,1.39209,-0.20268,2.14101,1.47754,1.37061,0.561735
16.0,0.0,-2.27979,0.940228,-1.26619,0.785518,3.23698,2.92724,-0.834837,0.487242,1.73238,0.0966721,2.49891,1.79946,1.68353,0.942985
17.0,0.0,-1.7518,1.65882,-0.492513,1.53103,3.94157,3.63032,-0.0734015,1.11888,2.43323,0.780571,3.23715,2.49994,2.3755,1.63607
18.0,0.0,-1.26329,2.11523,0.165745,2.13906,4.35314,4.03272,0.58936,1.69794,2.87896,1.39125,3.6289,2.86288,2.69568,2.1468
19.0,0.0,-1.17802,2.09768,0.221832,2.10007,4.30216,3.98204,0.675812,1.67144,2.83106,1.46513,3.60806,2.81119,2.64465,2.08987
20.0,0.0,-1.30452,2.1063,0.177341,2.06625,4.30192,3.9829,0.726707,1.52758,2.81906,1.28978,3.64652,2.80482,2.6424,2.07966
21.0,0.0,-1.16363,2.31336,0.450734,2.28555,4.56045,4.24027,0.978787,1.65777,3.0239,1.44013,3.89675,3.027,2.86781,2.25592
22.0,0.0,-0.780663,2.81404,0.906273,2.71446,5.07115,4.73348,1.5061,2.11855,3.51924,1.87109,4.38639,3.53498,3.35769,2.71507
23.0,0.0,-0.57432,3.00291,1.0784,2.86291,5.31065,5.00387,1.68632,2.2492,3.72352,2.03328,4.67276,3.75587,3.60532,2.89236
