1140	3.16
4526	6.604
4504	12.4
471	3.592
399	1.34
4456	19.228
382	26.956
362	9.364
4446	4.404
335	21.056
243	3.196
127	4.432
107	3.868
44	8.304
4345	89.884
6086	2.612
4229	125.276
4188	420.184
4157	12.792
4129	5.856
4117	22.6
3865	3.676
2798	1.788
3535	0.516
3320	1.74
3213	1.684
3180	1.196
2864	24.008
2778	7.556
2766	0.416
2757	3.512
682	1.172
246	3.704
6744	2.56
6510	1.808
2567	16.864
2553	32.48
2559	3.912
2504	2.288
2482	2.804
5567	0.608
2437	2.092
5279	1.944
2338	14.656
2359	2.568
4910	0.588
2326	1.136
2285	1.192
2279	8.96
2186	2.932
2172	2.624
2082	23.58
1428	1.792
4431	4.432
