1140	0.395
4526	0.8255
4504	1.55
471	0.449
399	0.1675
4456	2.4035
382	3.3695
362	1.1705
4446	0.5505
335	2.632
243	0.3995
127	0.554
107	0.4835
44	1.038
4345	11.2355
6086	0.3265
4229	15.6595
4188	52.523
4157	1.599
4129	0.732
4117	2.825
3865	0.4595
2798	0.2235
3535	0.0645
3320	0.2175
3213	0.2105
3180	0.1495
2864	3.001
2778	0.9445
2766	0.052
2757	0.439
682	0.1465
246	0.463
6744	0.32
6510	0.226
2567	2.108
2553	4.06
2559	0.489
2504	0.286
2482	0.3505
5567	0.076
2437	0.2615
5279	0.243
2338	1.832
2359	0.321
4910	0.0735
2326	0.142
2285	0.149
2279	1.12
2186	0.3665
2172	0.328
2082	2.9475
1428	0.224
4431	0.554
